,id,review,rating,fresh,critic,top_critic,publisher,date
109,3,"Hard to endure due to its pretentious nature, but deserves credit for inspiring a unique form of wrath - rage against the Cronenberg",1.5/5,rotten,Cameron Williams,0,The Popcorn Junkie,"August 6, 2012"
110,3,"If anything, Cosmopolis is more timely now than when DeLillo published it almost a decade ago.",3/5,fresh,Stephen Romei,0,The Australian,"August 6, 2012"
111,3,"The film is obtuse, talky, remote and sometimes baffling, but it is also full of ideas and Cronenberg's uncompromising belief in the art of cinema. Imagine that.",3.5/5,fresh,Paul Byrnes,0,Sydney Morning Herald,"August 6, 2012"
112,3,Another Cronenberg film badly in need of an exploding head. ,1/5,rotten,Jim Schembri,0,3AW,"August 5, 2012"
113,3,"Hyper-stylised, cold, cerebral, difficult, stylish, at times visually sublime and at times unintentionally humorous, Cosmopolis is David Cronenberg back in Cronenberg Land ... You can't say it's anything other than unique.",3.5/5,fresh,CJ Johnson,0,ABC Radio (Australia),"August 4, 2012"
114,3,Don't listen to the haters -- this linguistically complex and eloquently dark film is much more clever than pretentious.,4/5,fresh,Grant McAvaney,0,MovieFIX,"August 2, 2012"
115,3,"Cosmopolis is a soulless, confusing, bore of a film, a pretentious message movie where the message itself is lost in dialogue equal to verbal masturbation where big questions are asked, and waffling diatribes are given in response.",2/5,rotten,Matthew Pejkovic,0,Matt's Movie Reviews,"August 1, 2012"
117,3,"Pattinson ditches the fangs but keeps the brooding, in a thoughtful essay on a man fighting for meaning within hollow surrounds. Riveting, poetic and thoroughly Cronenberg.",4/5,fresh,Ed Gibbs,0,The Sunday Age,"July 30, 2012"
121,3,"One day Cosmopolis may well have either been completely forgotten - or seen to have been ahead of its time, hugely influential and something of an overlooked classic experiment.",2/5,rotten,Graham Young,0,Birmingham Mail ,"June 27, 2012"
123,3,This bristling evocation of the last days of capitalism is compelling and unsettling in equal measure but ultimately memorable for being so very close to recent global happenings.,4/5,fresh,Gail Tolley,0,The List,"June 20, 2012"
124,3,"Cosmopolis may, like Packer's limo, be an elaborately conceived but essentially vacant vehicle -- yet it has a master at the wheel.",4/5,fresh,Jonathan Romney,0,Independent (UK),"June 18, 2012"
125,3,"Here's something truly weird: as soon as I was back in the real world, Cosmopolis knocked me sideways.",3/5,fresh,Charlotte O'Sullivan,0,London Evening Standard,"June 18, 2012"
126,3,"The symbols are all functional and Cronenberg's allegory for a civilization divorcing itself from its own humanity is entirely realized, but without a potent emotional angle, it's little more than an intellectual exercise.",3/5,fresh,Katherine Monk,0,Canada.com,"June 18, 2012"
127,3,"It is the sort of film that shouldn't be cynically propping itself up with a name draw like Pattinson, but more importantly, it is the sort of film that should rouse the mind rather than dullen it with pretensions to the lectern.",1.5/5,rotten,Shaun Munro,0,What Culture,"June 17, 2012"
129,3,"As a quiet expression of collective neuroses, it must be considered a limited success.",3/5,fresh,Donald Clarke,0,Irish Times,"June 15, 2012"
131,3,"A smug, academic thesis on the evils of capitalism, Cosmopolis is as exciting as someone reading you the entire book in a flat, unvarying monotone.",2/5,rotten,Allan Hunter,0,Daily Express (UK),"June 15, 2012"
132,3,"David Cronenberg has made some fantastic films - Eastern Promises, The Fly - but this isn't one of them.",2/5,rotten,Alex Zane,0,The Sun (UK),"June 14, 2012"
135,3,"If DeLillo talks a lot, that's his job: he's a writer. When Cronenberg movies talk - and the density of dialogue here has no mercy - they die sitting up, like a teacher at his desk.",1/5,rotten,Nigel Andrews,0,Financial Times,"June 14, 2012"
136,3,"Every internal decision, from cameo casting to the eerie quiet of the sound design enclosing us in this air-conditioned luxury coffin, is just about unimprovable.",3/5,fresh,Tim Robey,0,Daily Telegraph (UK),"June 14, 2012"
137,3,"A part hypnotic, part profound, part send-up meditation on our financially imploding time.",4/5,fresh,Ian Nathan,0,Empire Magazine,"June 14, 2012"
138,3,"Artful, intelligent and wilfully obtuse, Cronenberg uses his skill to hold our interest through this oddity of a film.",3/5,fresh,Rich Cline,0,Shadows on the Wall,"June 14, 2012"
139,3,"Cronenberg's DeLillo adaptation has some interesting ideas, presents an intriguingly sealed-off view of the world and features a genuinely superb performance from Robert Pattinson...",3/5,fresh,Matthew Turner,0,ViewLondon,"June 14, 2012"
140,3,"Cronenberg is at play in this slippery, surreal affair that is best appreciated with open ears and an open mind -- and begs to be seen twice.",3.5/5,fresh,,0,Montreal Gazette,"June 13, 2012"
142,3,It might just be the weirdest movie of the year.,3/5,fresh,Rob James,0,Total Film,"June 11, 2012"
143,3,The result is more interesting as an intellectual experience than as entertainment; you watch Cosmopolis fully aware that it wants to be deconstructed rather than enjoyed.,3/5,fresh,Norman Wilner,0,NOW Toronto,"June 8, 2012"
145,3,"Adopting a convincing American accent, Pattinson aces the role despite his panic attacks before the film starting shooting in Toronto.",3.5/5,fresh,Bruce Kirkland,0,Jam! Movies,"June 7, 2012"
146,3,An extraordinary psychological and sensual immersion in the psychosis of capitalism with a brilliant performance from Robert Pattinson.,5/5,fresh,Catherine Bray,0,Film4,"June 3, 2012"
150,3,"Its portrayal of civilisation as an impossibly intricate, crucially flawed equation, about to buckle and snap, is sinuously compelling.",4/5,fresh,Robbie Collin,0,Daily Telegraph (UK),"May 26, 2012"
159,3,"Threatens to soar and to be important, but it only offers flashes of lucidity. That said, there's a consistent air of charged, end-of-days menace running through the film, which Cronenberg handles with an unbroken sense of precision and confidence.",3/5,fresh,Dave Calhoun,1,Time Out,"May 25, 2012"
161,3,[An] agonisingly self-conscious and meagre piece of work.,2/5,rotten,Peter Bradshaw,0,Guardian,"May 25, 2012"
164,5,Charming tale of songwriter finding her voice has profanity. ,4/5,fresh,Brian Costello,0,Common Sense Media,"July 12, 2016"
186,6,"Though directed with machine-like precision by Barry Levinson, the screenplay by Paul Attanasio unfortunately eliminates too many key elements in Crichton's smart but convoluted story line.",2.5/5,rotten,Malcolm Johnson,0,Hartford Courant,"April 25, 2018"
194,6,"If the best parts of Disclosure are its sideshows, its biggest drawback is that infernal infatuation the filmmakers have with technology and power.",3/5,rotten,Jay Boyar,1,Orlando Sentinel,"April 25, 2014"
197,6,"Moore models some slinky lingerie and Douglas soaks his collars in sweat, while the emphasis on computer gizmos and cyber-babble encourages a verdict of virtual rubbish.",2/5,rotten,Adrian Turner,0,Radio Times,"April 25, 2014"
207,6,"Genuinely gripping, Demi makes an awesome femme fatale.",4/5,fresh,Ian Nathan,0,Empire Magazine,"November 5, 2008"
210,6,The movie's subject is the intricate web of paranoia and competitive aggression that creeps down and smothers any flicker of loyalty.,4/5,fresh,Rob Gonsalves,0,eFilmCritic.com,"January 20, 2007"
213,6,Worse than merely 'pertinent'.,0/5,rotten,Jake Euker,0,"F5 (Wichita, KS)","February 9, 2006"
216,6,This movie worked beyond its gimmick. Entertaining.,3/5,fresh,Alex Sandell,0,Juicy Cerebellum,"November 13, 2003"
217,6,Remember when Demi looked good naturally?,4/5,fresh,Kevin A. Ranson,0,MovieCrypt.com,"September 8, 2003"
220,6,No idea what it wants to be about but a nice comeupance scene.,3/5,fresh,Nell Minow,0,Movie Mom,"August 30, 2002"
222,6,"Excellent, accurate, smart analysis of sexual harrassment in the workplace.",4/5,fresh,John Oliver,0,Katrillion.com,"August 23, 2002"
224,6,Entertaining strictly as a big-budget soap opera.,3/5,fresh,Scott Weinberg,0,eFilmCritic.com,"July 26, 2002"
229,6,"In its rush to push hot buttons, Disclosure neglected some essentials of good storytelling.",2/5,rotten,Marjorie Baumgarten,0,Austin Chronicle,"January 1, 2000"
232,6,"Disclosure, ostensibly about reverse sexual harassment, is really just a platform for Moore's true lack of acting ability to come through better than ever.",2/5,rotten,Christopher Null,0,Filmcritic.com,"January 1, 2000"
243,8,"Great boy-and-dog tale, but be prepared for tears.",4/5,fresh,Nell Minow,0,Common Sense Media,"December 26, 2010"
248,8,They may find themselves mystified and a little bored by a movie designed to leave their adult companions misty-eyed.,2.5/5,rotten,,1,New York Times,"January 1, 2000"
254,8,Lyrical and very touching.,4/5,fresh,Nell Minow,0,Movie Mom,"January 1, 2000"
263,8,The movie doesn't so much tug at your heart as give it a series of vigorous yanks.,3.5/5,fresh,Robert Faires,0,Austin Chronicle,"January 1, 2000"
271,8,Are guaranteed to cause alarm and even tears.,4/5,fresh,Desson Thomson,1,Washington Post,"January 1, 2000"
274,8,"Despite its many problems, I still enjoyed My Dog Skip, thanks almost completely to the considerable charm of Frankie Muniz and the various canines playing Skip.",2.5/5,fresh,Edward Johnson-Ott,0,NUVO Newsweekly,"January 1, 2000"
296,8,Flawless period re-creation.,3.5/5,fresh,Kevin Thomas,1,Los Angeles Times,"January 1, 2000"
318,10,"It won't stick with you forever, but you will enjoy it while it lasts.",3/5,fresh,,0,Film4,"August 12, 2008"
319,10,"Second-generation Hollywood wrestles with but never truly pins down this big-hearted, broad and often flat comedy...",2/5,rotten,Mark Halverson,0,Sacramento News &amp; Review,"August 7, 2008"
321,10,"With minimal gross-out quota, Kasdan's sure-footed approach mixes a teen farce and a morality tale.",4/5,fresh,Danny Graydon,0,Empire Magazine,"December 30, 2006"
325,10,The sight of Black burning down an entire admin block during a moment of passion would warm up any winter.,2/5,rotten,Harry Guerin,0,,"April 1, 2003"
326,10,It is a notch above the usual tripe we get from MTV films - but it's not a very big notch,3/5,rotten,Brian Mckay,0,eFilmCritic.com,"March 19, 2003"
327,10,"Refreshingly, it's not as lowbrow or silly as your typical youth-oriented comedy of late.",2/5,rotten,Marrit Ingman,0,Austin Chronicle,"March 10, 2003"
328,10,...Second-rate teen comedy...,2/5,rotten,John R. McEwen,0,Film Quips Online,"February 8, 2003"
330,10,"This is mostly weak stuff, with a timid and reactionary final message about how it's better to stay in your home town, rather than go for a big-city college education.",2/5,rotten,Peter Bradshaw,0,Guardian,"November 19, 2002"
331,10,"Though there are no real belly laughs or any Farrelly-like set pieces, this is still a better than average comedy, thanks to its witty script and its amusing collection of characters.",3/5,fresh,Matthew Turner,0,ViewLondon,"November 9, 2002"
332,10,"This Orange has some juice, but it's far from fresh-squeezed.",3/5,fresh,James Rocchi,0,Netflix,"November 7, 2002"
339,10,"Despite some good intentions and a decent coming-of-age story, Orange County is sadly bogged down by lackluster jokes, poorly utilized celebrity cameos galore and decent if uninvolving leads.",1.5/5,rotten,Garth Franklin,0,Dark Horizons,"July 22, 2002"
344,10,There's a general lack of subtlety -- the filmmakers try too hard to be zany or meaningful and rarely get either right.,2.5/5,rotten,Rich Cline,0,Shadows on the Wall,"June 6, 2002"
352,10,Strictly a vanity vehicle with a mess of star babies on board.,1.5/5,rotten,Rita Kempley,1,Washington Post,"January 22, 2002"
358,10,I had never felt such Darwinian satisfaction before seeing the progeny of Hanks and Wilson.,4/5,fresh,Karina Montgomery,0,Cinerina,"January 15, 2002"
364,10,"It's ironic that this movie is about cartoonishly dysfunctional adults, when it is the adults who got it made and contribute the only tolerable moments.",2/5,rotten,Nell Minow,0,Movie Mom,"January 13, 2002"
367,10,"Under the direction of Jake Kasdan, Orange County crackles with sweeping camera movements and a zippy storytelling pace.",3.5/5,fresh,Max Messier,0,Filmcritic.com,"January 11, 2002"
372,10,"A well-meaning misfire, this SoCal coming-of-age tale tries to be both a broad teen farce and a sensitive family drama.",2/5,rotten,Frank Lovece,0,TV Guide,"January 11, 2002"
400,10,The movie is less than nothing special.,1/5,rotten,Desson Thomson,1,Washington Post,"January 10, 2002"
408,10,Feels like six different movies fighting each other for attention.,2.5/5,rotten,,1,New York Times,"January 10, 2002"
409,10,Barrels along at the start before becoming mired in sentimentality.,3/5,rotten,Kevin Thomas,1,Los Angeles Times,"January 10, 2002"
423,10,A deft script by Mike White ... elevates the usual teen twaddle by grounding the laughs in feeling.,4/5,fresh,Peter Travers,1,Rolling Stone,"January 8, 2002"
429,13,Intense relationship drama for adults only.,3/5,fresh,,0,Common Sense Media,"October 22, 2007"
435,13,"The filmmakers do not feel the need to fill in every single blank for viewers by the time the credits roll. Just as in reality, these characters' problems are not going to be solved with the wave of a magic wand; there are no short cuts to happiness.",3.5/5,fresh,Scott Collura,0,IGN Movies,"June 22, 2007"
437,13,"Impressively directed, thoroughly engaging drama with terrific performances and a superb script. This is one of the best films of the year.",5/5,fresh,Matthew Turner,0,ViewLondon,"June 19, 2007"
438,13,"For all the pains it takes to establish mood and character, Jindabyne hides under its own uneasy surfaces; it never allows enough sense of what this community really is, of what's to be grieved when it comes apart.",3/5,rotten,Jonathan Kiefer,0,Sacramento News &amp; Review,"June 18, 2007"
440,13,"Apart from a contrived ending, Jindabyne comes as close as can be to a perfect drama.",4/5,fresh,Anton Bitel,0,Film4,"June 12, 2007"
441,13,A fish tale worth telling and worth hearing.,3/5,fresh,Roger Moore,1,Orlando Sentinel,"June 8, 2007"
444,13,"The frustration here is that none of this leads anywhere. Perhaps that is the point, that some mysteries are never solved, but Jindabyne could give us a little more to work with.",3/5,rotten,Bill Muller,1,Arizona Republic,"June 7, 2007"
446,13,"Thanks to Beatrix Christian's beautiful screenplay, what was once a story about the way men and women communicate has grown into a haunting study of Australian race relations and gender dynamics.",4/5,fresh,Cole Haddon,0,Orlando Weekly,"June 7, 2007"
447,13,"The movie is beautifully shot, and succeeds in being deeply disturbing and mysterious, with richly achieved nuances of characterisation. I have seen it two or three times now, and each time it gets better.",5/5,fresh,Peter Bradshaw,0,Guardian,"June 2, 2007"
449,13,This kind of maturity and intelligence is all too infrequent in mainstream cinema -- let's hope it's not another six years until [director] Lawrence's next film.,4/5,fresh,Wendy Ide,0,Times (UK),"June 2, 2007"
450,13,Jindabyne loses its general sense of direction.,3/5,rotten,Marjorie Baumgarten,0,Austin Chronicle,"June 1, 2007"
455,13,"A great idea is weighed down by an over-egged screenplay, but the setting and cast bring out its best.",3/5,fresh,Sam Toy,0,Empire Magazine,"May 25, 2007"
463,13,[Director] Lawrence certainly knows how to bait his audience with intriguing characters.,3/5,fresh,Stella Papamichael,0,BBC.com,"May 15, 2007"
464,13,"There's lots of talk about kharma without mentioning the word, and a major theological debate on transmigration of souls, which surprisingly, isn't boring at all.",3.1/5,fresh,Eric Lurio,0,Greenwich Village Gazette,"May 14, 2007"
468,13,"A slow, complex tale about how people live together, and about the rituals and relationships that constitute community.",3.5/5,fresh,Liz Braun,0,Jam! Movies,"May 11, 2007"
486,13,"We live on the fault line along with these characters, and it is an experience that is not easy to shake off.",3.5/5,fresh,Kenneth Turan,1,Los Angeles Times,"April 27, 2007"
488,13,"A sobering and serious Australian movie that touches the deep places in us that are haunted and colored by love, loss, community, and grief.",4/5,fresh,,0,Spirituality and Practice,"April 27, 2007"
490,13,"It's not just that the clean, efficient lines of Carver's story are blurred and tangled. The real flaw is that the movie's best features -- the aching clarity of its central performances - threaten to be lost in a wilderness of metaphor and mystification.",2.5/5,rotten,,1,New York Times,"April 27, 2007"
491,13,"powerful, unsettling",4/5,fresh,Chris Barsanti,0,Filmcritic.com,"April 26, 2007"
504,13,"Murder isn't allowed to become a distraction. Consequently, with all its haunting moodiness, moral alarm bells and relational issues, the film isn't much more than the unexpanded short story it derives from.",3/5,rotten,Jules Brenner,0,Cinema Signals,"April 15, 2007"
506,13,"Despite a glacial exterior, this fine film holds us in its relentless grip.",5/5,fresh,Rich Cline,0,Shadows on the Wall,"March 17, 2007"
507,13,"[Jindabyne] accomplished and impressive but if it has a frustration, it's that finally it is less than it seems.",3/5,fresh,Peter Calder,0,New Zealand Herald,"December 30, 2006"
508,13,There's no denying its technical bravado and the haunting power of its subject.,4/5,fresh,Richard Mowe,0,Boxoffice Magazine,"November 29, 2006"
509,13,"Director Ray Lawrence captures in Jindabyne both the intimacy of the lives of married people and the broader fabric of a community -- and the soap-bubble fragility of our perceptions of our lovers, friends and neighbors.",3/5,fresh,Kim Voynar,0,Cinematical,"September 27, 2006"
510,13,"t's a thoughtful, bracing drama in the mould of Lawrence's much-decorated Lantana.",3/5,fresh,Jason Anderson,0,eye WEEKLY,"September 23, 2006"
521,14,A captivating film... [Full review in Spanish],3/5,fresh,Laura Hiros,0,,"March 22, 2018"
522,14,"Overall, a complete misfire given the talent involved.",2/5,rotten,James Luxford,0,The National (UAE),"August 30, 2012"
535,14,"Love Ranch proves to be a provocative, highly entertaining and surprisingly touching peek into a unique world movies don't often explore.",3/5,fresh,Pete Hammond,0,Boxoffice Magazine,"July 2, 2010"
537,14,A hackneyed drama in which even Helen Mirren can't make much out of her bewildered character.,1/5,rotten,,0,Spirituality and Practice,"July 1, 2010"
551,14,"For once, Mirren seems like she's coasting in her fur coats and borrowed Dietrich attitude.",3/5,fresh,Joshua Rothkopf,1,Time Out,"June 30, 2010"
553,14,"Basically a lower-end HBO movie that somehow made it to theaters, Love Ranch satisfies only as a showcase for [Helen] Mirren's well-established skills.",2.5/5,rotten,Geoff Berkshire,0,Metromix.com,"June 29, 2010"
565,15,"A goofy mess whose screws aren't loose, but missing entirely.",3/5,fresh,,0,Cinemixtape,"April 9, 2016"
568,15,Revel in the sheer insanity and unique humor of this cracking jungle adventure.,3.5/5,fresh,James Jennings,0,Film4,"June 17, 2008"
573,15,rubbish,1/5,rotten,Clint Morris,0,Moviehole,"May 12, 2005"
575,15,"A completely unintentional laugh riot and, in that sense, top-drawer Crichton.",0/5,rotten,Jake Euker,0,"F5 (Wichita, KS)","September 17, 2004"
576,15,"Watch the opening for Bruce Campbell's death scene, and then run far away.",1/5,rotten,Rob Vaux,0,Flipside Movie Emporium,"May 26, 2004"
578,15,"Not bad adventure, nothing special, but not bad",3/5,fresh,Fred Topel,0,About.com,"December 28, 2003"
581,15,"Not funny bad, just bad bad. The worst adaptation of a Michael Crichton book so far.",2/5,rotten,Blake Davis,0,KFOR Channel 4 News,"April 28, 2003"
594,15,It suffocates you with one faux thrill after another.,0/5,rotten,Steve Davis,0,Austin Chronicle,"January 1, 2000"
610,17,"Gripping documentary, see it with your teens.",4/5,fresh,Nell Minow,0,Common Sense Media,"December 29, 2010"
617,17,Content to be a kind of Valentine to the slain rapper -- so reliant on recycled MTV footage that it feels more like a Behind the Music special than a feature film.,2.5/5,rotten,Ken Hanke,0,"Mountain Xpress (Asheville, NC)","November 20, 2003"
624,17,"Take away the typical lush life or hard life images you associate with rap, and Shakur's struggles are common",4/5,fresh,Pete Croatto,0,Filmcritic.com,"November 16, 2003"
625,17,"Lazin's documentary may be somewhat one-sided -- Afeni Shakur's involvement guaranteed that -- but it's still immensely enlightening, and a genuine gift to Tupac's fans.",3/5,fresh,Marc Savlov,0,Austin Chronicle,"November 16, 2003"
630,17,"Lazin's film gets off to a bad start with a miscalculated opening sequence presented in a way that implies we're listening to Shakur speak about his own murder, an impossibility that undermines the film's documentary credibility.",2.5/5,rotten,Maitland McDonagh,0,TV Guide,"November 14, 2003"
631,17,[An] absorbing experience.,3/5,fresh,Geoff Pevere,1,Toronto Star,"November 14, 2003"
642,17,"Tupac: Resurrection does not shy away from the violence or controversy in the rapper's life, but this film is a love letter, no question. Shakur comes across as smart, energetic and deeply philosophical.",3.5/5,fresh,Liz Braun,0,Jam! Movies,"November 14, 2003"
646,17,"Director Lauren Lazin masterfully stitches together bits and pieces of Shakur's interviews to underline the big, Shakespearean themes -- ambition, violence, redemption -- that seemed to define his life.",4/5,fresh,Paul Clinton,0,Boxoffice Magazine,"November 14, 2003"
658,17,Informative and interesting reflections on his life by the man himself.,3.5/5,fresh,Cherryl Dawson,0,TheMovieChicks.com,"November 14, 2003"
662,17,Offers mainstream America a look at Shakur's immense talent and the ever-expanding world of hip-hop music.,4/5,fresh,Larry Rodgers,1,Arizona Republic,"November 13, 2003"
665,17,"As its title suggests, Tupac: Resurrection is less concerned with analyzing Shakur than with bringing him back to life, for which his fans can only be grateful. For everyone else, this film provides an affecting, partial portrait.",3/5,fresh,,1,New York Times,"November 13, 2003"
667,17,"Though we do feel the need of other voices to provide perspective, Tupac: Resurrection is even-handed for a single-point -of-view film.",3.5/5,fresh,Kenneth Turan,1,Los Angeles Times,"November 13, 2003"
686,17,Filmmaker Lauren Lazin has created a loving tribute to this late star as if he was her own son. Fans will approve.,4/5,fresh,Eric Campos,0,Film Threat,"September 24, 2003"
695,19,remains about as graphically devoid as the old Linux command line,3/5,rotten,John A. Nesbit,0,ToxicUniverse.com,"April 8, 2004"
696,19,This in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come.,4/5,fresh,Ron Wells,0,Film Threat,"December 8, 2002"
701,19,"Moore's complex and important film is also, believe it or not, immensely entertaining, a David and Goliath story that's still very much playing itself out.",4/5,fresh,Marc Savlov,0,Austin Chronicle,"March 24, 2002"
702,19,"Great story, bad idea for a movie.",3/5,rotten,Christopher Null,0,Filmcritic.com,"March 19, 2002"
703,19,"... it's as comprehensible as any Dummies guide, something even non-techies can enjoy.",3/5,fresh,Ken Fox,0,TV Guide,"February 26, 2002"
704,19,"Everybody loves a David and Goliath story, and this one is told almost entirely from David's point of view.",3/5,rotten,Stephen Holden,1,New York Times,"February 26, 2002"
713,21,Dangerfield misfire comedy on several levels; little to smile about.,2/5,rotten,Steve Crum,0,Video-Reviewmaster.com,"March 14, 2009"
714,21,Deserves no respect.,3/5,fresh,Nell Minow,0,Movie Mom,"July 25, 2002"
715,21,Shudderingly awful. You'll need a shower.,1/5,rotten,Scott Weinberg,0,eFilmCritic.com,"January 1, 2000"
728,23,"David O. Russell follows The Fighter and Silver Linings Playbook with the third entry in his ""reinvention"" trilogy, a film which is getting as much gold and silver on the mantelpiece this award season as his previous two, but less deservedly so.",3.5/5,fresh,Alistair Ryder,0,Cinemole,"October 21, 2018"
732,23,"American Hustle amuses with irony, music and wit. It tantalizes with danger but doesn't get violent. Its sexiness - there's grinding in washrooms, on tables and laps - is electric and fun. ",4/5,fresh,Srijana Mitra,0,The Times of India,"November 17, 2017"
734,23,"It's a sly film that slips through your fingers, leaving the glitter of great performances, but one you'll be hustling to watch again. ",4/5,fresh,Larushka Ivan-Zadeh,0,Metro (UK),"September 6, 2017"
743,23,"Full of agreeable performances and a few ""aha"" moments that most filmmakers would kill for, but it never comes together in any meaningful way.",3.5/5,fresh,,0,Cinemixtape,"April 8, 2016"
744,23,Vaults heedlessly between bedraggled comedy and serious-stakes scenes in which the director shuts off the fun.,3/5,fresh,Rob Gonsalves,0,eFilmCritic.com,"July 14, 2015"
751,23,"David O Russell's film fizzes with energy and wit, bowling along with a brio that matches the quick-wit and razzle-dazzle of its con artists.",5/5,fresh,Jason Best,0,Movie Talk,"May 4, 2014"
755,23,"Look, I think this is a fabulous film. ",4.5/5,fresh,Margaret Pomeranz,0,At the Movies (Australia),"February 6, 2014"
756,23,One of the films of the year for me.,4.5/5,fresh,David Stratton,0,At the Movies (Australia),"February 6, 2014"
760,23,Spearheaded by enormously charismatic actors and a script's verbal wit that overrides its untidiness.,3.5/5,fresh,Damien Straker,0,Impulse Gamer,"January 8, 2014"
762,23,"It turns out that comb-overs, cleavage, cocaine and kookiness are an unbeatable combo.",5/5,fresh,Joe Neumaier,1,New York Daily News,"January 8, 2014"
767,23,A tour-de-force piece of filmmaking about the art of survival - and a cinematically-glorious throwback to the Gene Hackman era.,4/5,fresh,Graham Young,0,Birmingham Mail ,"January 5, 2014"
773,23,"Though never boring, American Hustle does itself feel a little like a con - a skilled exercise in creative misdirection.",3/5,fresh,Donald Clarke,0,Irish Times,"January 3, 2014"
783,23,"An incongruous jumble, American Hustle's supporting cast and Lawrence's stellar turn lingers in the eye, not the movie as a whole. For a film that perhaps attempted to break a mold, it suffers from simply not knowing what it wanted to be.",3/5,fresh,Diva Velez,0,TheDivaReview.com,"December 27, 2013"
786,23,"For a good time, come see this adorable, sexy, deviously antic piece of cockeyed comedy. You want nominations?",4/5,fresh,Jules Brenner,0,Cinema Signals,"December 25, 2013"
790,23,"You forget that Russell once made such impenetrable navel-gazing twaddle as I Heart Huckabees, and simply revel in the fact that American Hustle is often deliriously good fun.",3/5,fresh,Mark Kermode,0,Observer (UK),"December 22, 2013"
794,23,Fun ride from Russell. ,3/5,fresh,Boo Allen,0,Denton Record-Chronicle,"December 21, 2013"
795,23,"If the opening scene of a film marks the first move of a grand seduction, David O. Russell scores a home run in the first five minutes of American Hustle.",4/5,fresh,Katherine Monk,0,Canada.com,"December 20, 2013"
